close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
68.27,68.83,67.36,68.21,1407930,68.27,68.83,67.36,68.21,1407930,0.0,1.0
67.91,69.61,66.5,68.53,2120982,67.91,69.61,66.5,68.53,2120982,0.0,1.0
68.04,68.45,66.95,67.89,1278648,68.04,68.45,66.95,67.89,1278648,0.0,1.0
68.41,68.6,67.25,68.07,1297178,68.41,68.6,67.25,68.07,1297178,0.0,1.0
68.55,69.05,67.91,68.6,1209529,68.55,69.05,67.91,68.6,1209529,0.0,1.0
69.02,70.2,68.27,69.04,1918556,69.02,70.2,68.27,69.04,1918556,0.0,1.0
70.01,71.41,68.835,69.1,1592931,70.01,71.41,68.835,69.1,1592931,0.0,1.0
69.36,71.85,69.34,71.27,1488504,69.36,71.85,69.34,71.27,1488504,0.0,1.0
70.58,71.41,69.24,69.24,1104161,70.58,71.41,69.24,69.24,1104161,0.0,1.0
70.54,71.95,70.13,70.91,1244864,70.54,71.95,70.13,70.91,1244864,0.0,1.0
73.64,74.335,70.77,70.87,2876928,73.64,74.335,70.77,70.87,2876928,0.0,1.0
73.96,74.64,71.85,74.04,3454515,73.96,74.64,71.85,74.04,3454515,0.0,1.0
72.02,73.54,71.13,73.03,3060843,72.02,73.54,71.13,73.03,3060843,0.0,1.0
72.98,73.35,71.28,71.61,2923613,72.98,73.35,71.28,71.61,2923613,0.0,1.0
73.43,74.3,72.78,73.38,1914718,73.43,74.3,72.78,73.38,1914718,0.0,1.0
72.49,75.15,72.32,74.18,2367464,72.49,75.15,72.32,74.18,2367464,0.0,1.0
74.03,74.4,72.33,73.0,1980173,74.03,74.4,72.33,73.0,1980173,0.0,1.0
71.73,73.56,71.16,73.15,1821353,71.73,73.56,71.16,73.15,1821353,0.0,1.0
66.73,71.47,66.1,71.12,4109663,66.73,71.47,66.1,71.12,4109663,0.0,1.0
65.46,67.06,65.42,66.53,1663853,65.46,67.06,65.42,66.53,1663853,0.0,1.0
