symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
CERN,2020-07-24 00:00:00+00:00,71.79,72.48,71.33,72.3,1513643,71.5990127106,72.2871770618,71.1402364765,72.1076559267,1513643,0.0,1.0
CERN,2020-07-27 00:00:00+00:00,72.45,72.73,71.0,71.53,1240833,72.2572568726,72.5365119716,70.8111143955,71.3397044044,1240833,0.0,1.0
CERN,2020-07-28 00:00:00+00:00,71.14,72.66,70.975,72.16,2032044,70.950741945,72.4666981969,70.7861809045,71.9680283772,2032044,0.0,1.0
CERN,2020-07-29 00:00:00+00:00,73.41,73.8,71.4,71.81,2210834,73.2147029264,73.6036653858,71.2100502513,71.6189595034,2210834,0.0,1.0
CERN,2020-07-30 00:00:00+00:00,71.26,72.75,69.31,70.92,2380120,71.0704227017,72.5564587644,69.125610405,70.7313272244,2380120,0.0,1.0
CERN,2020-07-31 00:00:00+00:00,69.45,71.58,68.87,71.04,2033812,69.2652379545,71.3895713863,68.6867809636,70.8510079811,2033812,0.0,1.0
CERN,2020-08-03 00:00:00+00:00,68.82,69.66,68.57,69.23,1902827,68.6369139817,69.4746792787,68.3875790718,69.0458232338,1902827,0.0,1.0
CERN,2020-08-04 00:00:00+00:00,68.91,69.45,68.23,68.51,1536231,68.7266745492,69.2652379545,68.0484835944,68.3277386935,1536231,0.0,1.0
CERN,2020-08-05 00:00:00+00:00,69.31,69.59,68.49,69.47,1257344,69.125610405,69.404865504,68.3077919007,69.2851847473,1257344,0.0,1.0
CERN,2020-08-06 00:00:00+00:00,69.95,70.12,69.29,69.29,1411108,69.7639077742,69.9334555129,69.1056636122,69.1056636122,1411108,0.0,1.0
CERN,2020-08-07 00:00:00+00:00,70.04,70.05,69.24,69.52,1861942,69.8536683417,69.8636417381,69.0557966302,69.3350517292,1861942,0.0,1.0
CERN,2020-08-10 00:00:00+00:00,71.98,71.99,69.92,70.0,2300434,71.7885072421,71.7984806385,69.733987585,69.8137747561,2300434,0.0,1.0
CERN,2020-08-11 00:00:00+00:00,72.41,72.93,72.02,72.17,2393876,72.217363287,72.7359798995,71.8284008277,71.9780017736,2393876,0.0,1.0
CERN,2020-08-12 00:00:00+00:00,72.77,73.52,72.37,72.55,1600904,72.5764055572,73.3244102867,72.1774697014,72.3569908365,1600904,0.0,1.0
CERN,2020-08-13 00:00:00+00:00,73.08,73.215,72.47,72.7,1409612,72.8855808454,73.0202216967,72.2772036654,72.5065917824,1409612,0.0,1.0
CERN,2020-08-14 00:00:00+00:00,72.91,73.27,72.59,72.89,1427702,72.7160331067,73.0750753769,72.3968844221,72.6960863139,1427702,0.0,1.0
CERN,2020-08-17 00:00:00+00:00,72.86,73.06,72.52,73.0,1282434,72.6661661247,72.8656340526,72.3270706474,72.8057936743,1282434,0.0,1.0
CERN,2020-08-18 00:00:00+00:00,73.41,73.79,73.045,73.24,1589084,73.2147029264,73.5936919894,72.850673958,73.0451551877,1589084,0.0,1.0
CERN,2020-08-19 00:00:00+00:00,72.44,73.79,72.25,73.67,824330,72.2472834762,73.5936919894,72.0577889447,73.4740112326,824330,0.0,1.0
CERN,2020-08-20 00:00:00+00:00,71.63,72.69,71.47,72.26,833315,71.4394383683,72.496618386,71.279864026,72.0677623411,833315,0.0,1.0
CERN,2020-08-21 00:00:00+00:00,71.82,71.91,71.11,71.25,1201597,71.6289328998,71.7186934673,70.9208217558,71.0604493054,1201597,0.0,1.0
CERN,2020-08-24 00:00:00+00:00,72.36,72.5,71.82,72.16,932830,72.1674963051,72.3071238546,71.6289328998,71.9680283772,932830,0.0,1.0
CERN,2020-08-25 00:00:00+00:00,71.81,72.5,71.5,72.41,1134561,71.6189595034,72.3071238546,71.3097842152,72.217363287,1134561,0.0,1.0
CERN,2020-08-26 00:00:00+00:00,71.39,71.79,70.61,71.79,1038015,71.2000768549,71.5990127106,70.4221519362,71.5990127106,1038015,0.0,1.0
CERN,2020-08-27 00:00:00+00:00,73.24,73.45,71.64,72.21,1626955,73.0451551877,73.254596512,71.4494117647,72.0178953591,1626955,0.0,1.0
CERN,2020-08-28 00:00:00+00:00,72.8,73.42,72.22,73.28,946142,72.6063257464,73.2246763228,72.0278687555,73.0850487733,946142,0.0,1.0
CERN,2020-08-31 00:00:00+00:00,73.37,73.68,71.85,71.85,2016934,73.1748093408,73.483984629,71.658853089,71.658853089,2016934,0.0,1.0
CERN,2020-09-01 00:00:00+00:00,72.47,73.03,72.05,72.88,1034790,72.2772036654,72.8357138634,71.8583210168,72.6861129175,1034790,0.0,1.0
CERN,2020-09-02 00:00:00+00:00,75.23,75.4987,72.6,72.91,2561774,75.0298610701,75.2978462312,72.4068578185,72.7160331067,2561774,0.0,1.0
CERN,2020-09-03 00:00:00+00:00,73.77,76.21,73.06,75.1868,2114806,73.5737451966,76.0072539166,72.8656340526,74.9867759976,2114806,0.0,1.0
CERN,2020-09-04 00:00:00+00:00,72.01,74.6,71.785,73.87,2251969,71.8184274313,74.4015370973,71.5940260124,73.6734791605,2251969,0.0,1.0
CERN,2020-09-08 00:00:00+00:00,70.04,71.67,69.7522,71.38,2563086,69.8536683417,71.4793319539,69.5666339935,71.1901034585,2563086,0.0,1.0
CERN,2020-09-09 00:00:00+00:00,71.57,72.135,70.336,70.77,1562627,71.3795979899,71.9430948862,70.148880875,70.5817262785,1562627,0.0,1.0
CERN,2020-09-10 00:00:00+00:00,70.38,72.09,70.2799,71.37,1545917,70.1927638191,71.8982146024,70.0929301212,71.1801300621,1545917,0.0,1.0
CERN,2020-09-11 00:00:00+00:00,70.95,71.4,69.94,69.995,1844341,70.7612474135,71.2100502513,69.7539343778,69.8087880579,1844341,0.0,1.0
